SampleID,P,N,E,TC_gkg,TN_gkg,SOC_gkg,NO3_N,NH4_N,N_availability,pH,Soil_moisture
W-N1-1,Wheat,50%,-E,14.301609992981,0.527803227305412,1.78457487751764,52.6927370531455,32.787362600467,85.4800996536125,7.25,7.04375667022412
W-N1-3,Wheat,50%,-E,15.9806001186371,1.27231806516647,0.820560149126071,42.7379122619837,18.4839359839902,61.2218482459739,7.23,21.1736237144586
W-N1-7,Wheat,50%,-E,11.8988227844238,0.454978197813034,1.07288670906712,55.5759706497192,31.0768193244934,86.6527899742126,7.29,11.2222222222222
W-N2-1,Wheat,100%,-E,17.393285036087,0.635541826486588,1.42083826474809,59.0225798150768,26.9264576124109,85.9490374274876,7.15,15.9420289855072
W-N2-3,Wheat,100%,-E,18.2169651985168,0.673337280750275,0.539746324458723,241.105691565842,24.2062673021535,265.311958867995,7.33,9.28961748633879
W-N2-7,Wheat,100%,-E,17.2049415111542,0.524541214108467,2.49960720312866,275.706461058838,33.7395909490346,309.446052007873,7.22,9.05125408942201
W-N3-1,Wheat,150%,-E,15.4733026027679,0.602788329124451,1.58368351648273,53.6498464819503,2.75254656231567,56.402393044266,7.05,9.58904109589041
W-N3-3,Wheat,150%,-E,14.020129442215,0.443558506667614,1.59362228833676,300.406795251565,21.7882521113412,322.195047362906,7.39,9.28961748633879
W-N3-7,Wheat,150%,-E,16.831134557724,0.643720328807831,1.18498458266258,44.9403586704046,36.094129112741,81.0344877831456,7.26,16.4144353899884
W-N4-1,Wheat,200%,-E,21.1161708831787,0.677574053406715,1.87903728057859,423.243865950885,27.4302163627973,450.674082313682,7.08,11.2347052280312
W-N4-3,Wheat,200%,-E,15.7262170314789,0.726501643657684,1.93156384210879,428.064826691699,16.8804483892077,444.945275080906,7.03,7.87486515641856
W-N4-7,Wheat,200%,-E,17.8367972373962,0.602516233921051,0.791148208954438,410.557740280817,29.0705915275413,439.628331808358,7.3,7.70059235325794
W-N1+E-1,Wheat,50%,+E,16.9525587558746,0.562440678477287,1.51569209828997,44.5877320515046,27.0374065522938,71.6251386037984,7.28,15.8748551564311
W-N1+E-6,Wheat,50%,+E,14.6696841716766,0.541969537734985,2.40877428999777,383.906737774627,17.1731444096123,401.07988218424,7.22,12.549240292628
W-N1+E-8,Wheat,50%,+E,16.0178554058075,1.34735092520714,1.70321750678647,48.4047255565551,11.5276407407642,59.9323662973192,7.26,15.3402537485582
W-N2+E-1,Wheat,100%,+E,14.6037876605988,0.877320766448975,1.93422031875966,58.5084195631056,26.5116646948991,85.0200842580047,7.2,14.4819690898684
W-N2+E-6,Wheat,100%,+E,16.6130232810974,0.903457999229431,1.89203571257508,427.237756596927,16.5512089203144,443.788965517241,7.12,17.5862069
W-N2+E-9,Wheat,100%,+E,16.9245624542236,0.662416219711304,1.68393376493953,53.5949832773419,16.5136700590277,70.1086533363696,7.2,10.1321585903083
W-N3+E-3,Wheat,150%,+E,15.027539730072,0.638802796602249,1.70651431962112,41.9009371228317,23.7342946027082,65.63523172554,7.08,18.6943620178042
W-N3+E-6,Wheat,150%,+E,15.6706023216248,0.61352301388979,1.36152792925883,40.8504060857436,25.4676596417146,66.3180657274583,7.19,17.6470588235294
W-N3+E-10,Wheat,150%,+E,16.9381213188171,0.755683705210686,1.07491470960899,423.42755272051,21.5724472794898,445,7.15,16.0092807424594
W-N4+E-2,Wheat,200%,+E,19.0122151374817,1.88784390687943,1.67846621498575,51.4489750228715,18.47570096096,69.9246759838315,7.13,15.0086256469235
W-N4+E-4,Wheat,200%,+E,19.2588007450104,0.822389125823975,2.0654362943797002,42.3855819884791,26.8224069418876,69.2079889303668,7.19,17.8550383028875
W-N4+E-7,Wheat,200%,+E,22.3641657829285,0.923750698566437,1.92939377518041,417.965908941513,21.0237104356495,438.989619377163,7.21,16.8396770472895
R-N1-11,Ryegrass,50%,-E,15.1235949993134,0.506763532757759,1.00954411625862,32.1487953929912,12.7556907644497,44.9044861574409,7.25,14.8765077541643
R-N1-13,Ryegrass,50%,-E,15.5490601062775,0.550331473350525,1.54783196335782,42.5456559203729,13.1023513937077,55.6480073140806,7.31,12.9848229342327
R-N1-17,Ryegrass,50%,-E,17.2490990161896,0.524007380008698,2.5613138531915,34.3489043023499,8.31336887334271,42.6622731756926,7.35,11.0188261351052
R-N2-11,Ryegrass,100%,-E,16.4527499675751,0.577217973768711,1.99711243693241,40.4010209456111,18.5512700084852,58.9522909540962,7.12,13.2999443516973
R-N2-13,Ryegrass,100%,-E,16.7924213409424,0.635921284556389,2.70020075934349,26.704494709057,15.8246423021989,42.5291370112559,7.06,16.211504938989
R-N2-17,Ryegrass,100%,-E,16.5846645832062,0.800571441650391,2.45238237175467,39.9715916354611,11.1948974002588,51.1664890357199,7.38,11.7352614015573
R-N3-11,Ryegrass,150%,-E,20.5593729019165,0.806129574775696,1.92281158523315,46.0033110162486,14.3612872185914,60.3645982348401,7.05,16.231884057971
R-N3-13,Ryegrass,150%,-E,14.420473575592,0.697777271270752,1.75593414650691,28.9483949221097,16.9249388254606,45.8733337475703,7.03,18.5897435897436
R-N3-17,Ryegrass,150%,-E,13.7686097621918,0.563520640134811,2.16460697883963,45.929042755718,16.6848769564024,62.6139197121203,7.16,13.2394366197183
R-N4-11,Ryegrass,200%,-E,22.7115702629089,0.715996623039246,2.27742796613996,35.4425486805889,5.48481841150083,40.9273670920897,7.09,13.1861912846633
R-N4-13,Ryegrass,200%,-E,17.3894941806793,0.744672045111656,3.1125528216362,48.4084726479512,9.1572563646883,57.5657290126395,7.04,12.4859392575928
R-N4-17,Ryegrass,200%,-E,17.4442303180695,0.608893856406212,2.64120006254459,33.7476301632949,12.8206880146598,46.5683181779547,7.18,12.0927664273882
R-N1+E-16,Ryegrass,50%,+E,13.5889780521393,1.70926138758659,1.49330106960137,51.5803973064796,8.61001917537223,60.1904164818518,7.12,26.4687302590019
R-N1+E-17,Ryegrass,50%,+E,12.9006361961365,1.56297504901886,1.6149338739868,35.7963742138358,5.96050549444031,41.7568797082761,7.09,17.7058823529412
R-N1+E-20,Ryegrass,50%,+E,13.4590864181519,0.900365263223648,1.99477615274723,52.1662408565653,8.82829677409571,60.994537630661,7.16,21.2946158499697
R-N2+E-12,Ryegrass,100%,+E,18.2189762592316,0.704611912369728,2.73256557631362,27.4700728293496,10.3603674135972,37.8304402429468,7.02,16.144018583043
R-N2+E-15,Ryegrass,100%,+E,18.2238793373108,0.722729489207268,1.64803443435699,27.915357851404,9.50011309119528,37.4154709425993,7.18,18.8645771732703
R-N2+E-19,Ryegrass,100%,+E,17.4627661705017,1.31427749991417,1.92220676170523,38.9006529940405,6.13210445557625,45.0327574496168,7.06,19.2170818505338
R-N3+E-11,Ryegrass,150%,+E,15.7100474834442,0.648259073495865,2.07041713051208,52.10705382124,5.76132959523879,57.8683834164788,7.15,15.0802752293578
R-N3+E-13,Ryegrass,150%,+E,14.1707527637482,1.28992408514023,0.996913801033443,23.3203225456067,14.1862414594907,37.5065640050974,7.18,19.4029850746269
R-N3+E-15,Ryegrass,150%,+E,15.5908942222595,0.78883983194828,2.34557400941849,48.3675725851883,10.4900027636366,58.8575753488249,7.18,12.2562674094707
R-N4+E-12,Ryegrass,200%,+E,15.9988749027252,0.690933018922806,2.09012821408773,57.8044576973751,5.78691046813439,63.5913681655095,7.31,15.5172413793104
R-N4+E-13,Ryegrass,200%,+E,16.6016912460327,1.3029870390892,1.51184955154724,44.2646686001068,5.58866787872714,49.853336478834,7.03,16.4144353899884
R-N4+E-20,Ryegrass,200%,+E,15.4808187484741,1.02566465735435,2.09860791545189,42.6974806439402,8.89823510607737,51.5957157500176,7.03,21.1943793911007
